campus_name,alamat,kota
Asmi Kmpi Samarinda,Jl M Yamin Rt 05 Kel Sempaja,Nan
Sekolah Tinggi Ilmu Ekonomi Palangka Raya,Jalan Yos Sudarso No 15,Palangkaraya
Sekolah Tinggi Ilmu Ekonomi Nusantara Makassar,Jalan Ujung Pandang No 5 (Ruko Taman Bahari) Makassar,Nan
Sekolah Tinggi Teologi Pelita Kebenaran,,Nan
Sekolah Tinggi Ilmu Kesehatan Kesdam Iv / Diponegoro,"Jl. Hos Cokroaminoto No.4 - 5, Kelurahan Barusari, Kecamatan Semarang Selatan, Kota Semarang, Jawa Tengah",Semarang
Universitas Dayanu Ikhsanuddin,Jalan Yos Sudarso No 43,Bau Bau
Politeknik Pajajaran Insan Cinta Bangsa Bandung,Grand Surapati Core Jl.Phh Mustofa No.39B,Bandung
Stkip Islam Bumi Ayu,Bumiayu,Nan
Akademi Refraksi Optisi Kartika Indera Persada,Gedung Indera Sentra Unit Ap Jl. R. Suprapto No. 60 Cempaka Putih Jakarta Pusa,Nan
Sekolah Tinggi Ilmu Administrasi Menara Siswa,Jl Parung Hijau No 24 Kemang,Bogor
Akademi Kebidanan Bangka Belitung,Jl Majapahit No 294 Kec Tamansari,Nan
Universitas Panji Sakti Singaraja,Jalan Bisma No 22 Singaraja- Bali,Buleleng
Akademi Analis Kesehatan Theresiana,Jl.Mayjen Sutoyo 69 Semarang,Nan
Sekolah Tinggi Ilmu Kesehatan Banten,Ji. Raya Rawa Buntu No. 10 Bsd City,Tangerang Selatan
Akademi Kebidanan Medica Putro Bungsu,Jl. T. Ben Mahmud Tapak Tuan,Nan
"Stai Darul Ma`Arif, Cipete Jakarta Selatan",-,Nan
Politeknik Api Yogyakarta,Jl.Wisata Babarsari Tb Xv/15 Yogyakarta,Sleman
Universitas Persatuan Guru Republik Indonesia Semarang,Jalan Lontar No 1 Semarang,Semarang
Universitas Katolik Widya Mandala Surabaya,Jalan Dinoyo No 42-44,Nunukan
Amik Dian Cipta Cendikia,"Jl. Cut Nyak Dien No. 65, Durian Payung Bandar Lampung",Pulang Pisau
Akademi Optometri Yogyakarta,Nan,Bantul
Institut Agama Islam Imam Ghozali (Iaiig) Cilacap,Jl. Kemerdekaan Barat No. 17 Kesugihan Kidul Kesugihan Cilacap,Cilacap
Sekolah Tinggi Ilmu Pertanian Agrobisnis Perkebunan (Stip-Ap),Jl Willem Iskandar Sampali Medan Estate,Nan
Akademi Kebidanan Bunda Auni Bogor,Villa Nusa Indah Blok E1 No 2,Nan
Universitas Islam Negeri K.H. Abdurrahman Wahid Pekalongan,Jl. Kusuma Bangsa No.9,Pekalongan
Sekolah Tinggi Manajemen Informatika Komputer Uyelindo Kupang,"Jl Perintis Kemerdekaan I Kayu Putih, Kupang-Ntt",Kupang
Universitas Riau Indonesia,Nan,Nan
Akademi Kebidanan Global Medika,Madiun,Nan
Institut Kesehatan Helvetia,Jl. Kapten Sumarsono No.107 Medan,Medan
"Stai Nahdlatul Ulama (Stainu), Temanggung, Jawa Tengah",Jl. Suwandi Suwardi Km. 1,Temanggung
Universitas Ivet,Nan,Semarang
Institut Informatika Dan Bisnis Darmajaya,Jl Za Pagar Alam No 93 Labuhan Ratu (Dh. Stmik-Stie Daramajaya),Bandar Lampung
Stkip Pgri Pacitan,Jl Cut Nyak Dien,Pacitan
Stikes Bhakti Mandala Husada Slawi,"Jl Cut Nyak Dhien 16 Kalisapu, Kabupaten Tegal, Jawa Tengah",Tegal
Akademi Manajemen Kesatuan Bogor,Jalan Ranggagagading No 1,Nan
Akademi Kebidanan Surya Sehat,Surabaya,Nan
Stit Sunan Giri Trenggalek,Jl. Ki Mangun Sarkoro No. 17 B Trenggalek,Trenggalek
Sekolah Tinggi Hindu Dharma Klaten Jawa Tengah,"Morangan Rt. 01 Rw. 01 Karanganom, Kec. Klaten Utara, Kab. Klaten Jawa Tengah",Klaten
Stikes Ichsan Medical Centre Bintaro,Jalan Raya Jombang No 56,Tangerang Selatan
Stie Ottow & Geissler Fak-Fak,Jalan Imam Bonjol,Nan
Sekolah Tinggi Ilmu Ekonomi Ekuitas,Jl. Phh. Mustopa No. 31 Bandung,Bandung
Akademi Farmasi Jember,Jl. Pangandaran No.42 Antirogo Jember,Jember
Sekolah Tinggi Teologi Injili Efrata Sidoarjo,,Sidoarjo
Stikes Assyifa Aceh,Nan,Banda Aceh
Universitas Cendekia Mitra Indonesia,Nan,Yogyakarta
Institut Pemerintahan Dalam Negeri,"Jl. Ir. Soekarno Km. 20 Sumedang, Jawa Barat",Natuna
Universitas Alma Ata,Jalan Ringroad Barat Daya No 1 Tamantirto,Bantul
Akademi Bahasa Asing Widya Dharma,Jalan Hos Cokroaminoto No 445,Nan
Akademi Kebidanan Bunga Kalimantan,Jl Brigjen H Hasan Basri No 4D,Banjarmasin
Stmik Ppkia Tarakanita Rahmawati,Jl. Yos Sudarso 8 Tarakan - Kalimantan Timur,Tarakan
Politeknik Karya Persada Muna,Nan,Muna Barat
Universitas Jember,Jalan Kalimantan No 37 Kampus Tegalboto,Jember
Akademi Komunitas Qurrota A'Yun,Nan,Nan
Universitas Metamedia,Nan,Padang
Universitas Hasanuddin,Jl Perintis Kemerdekaan Km 10 Tamalanrea,Makassar
Akademi Kebidanan Kartini Jakarta,Jakarta,Administrasi Jakarta Selatan
Sekolah Tinggi Ilmu Ekonomi Syari'Ah Alifa Pringsewu Lampung,Jl. Jenderal Ahmad Yani Gang Gunung Sari No. 03,Nan
Institut Agama Islam Nahdlatul Ulama Tuban,Jl. Manunggal Nomor 10-12 Kel. Sukolilo Kec. Tuban,Tuban
Politeknik Tugu Jakarta,"Jalan M Kahfi 2 No 48 Lenteng Agung, Jagakarsa - Jakarta Selatan",Nan
Akademi Pariwisata Bandung,Jalan Terusan Tubagus Ismail Raya No.13,Nan
Akademi Keperawatan Harapan Mama Deli Serdang,"Jln.Medan-Batang Kuis Km.14,5 No.140 Sei Rotan Deli Serdang",Nan
Universitas Multimedia Nusantara Jakarta,Scientia Garden Jln. Boulevard Gading Serpong Tangerang Banten,Tangerang
Sekolah Tinggi Ilmu Ekonomi Musi Rawas,Jalan Yos Sudarso Kelurahan Lubuk Kupang Kecamatan Lubuklinggau Selatan I,Lubuk Linggau
Universitas Pembangunan Indonesia Manado,Jl Wolter Mongisidi Vi129 Lingkungan Ii Bahu,Manado
Universitas Ichsan Gorontalo,Jalan Raden Saleh No 17,Gorontalo
Universitas Katolik Widya Mandala Madiun,Jl Manggis N0 15-17,Nan
Politeknik Kelautan Dan Perikanan Jembrana,Nan,Jembrana
Politeknik Gistrav,Nan,Nan
Akper Putra Pertiwi Watansoppeng,Jalan Malaka Raya No 07,Nan
Sekolah Tinggi Ilmu Ekonomi Sabang,Jalan Prada Utama No. 15 Gampong Pineung,Banda Aceh
Akademi Kebidanan Indragiri,,Indragiri Hulu
Akademi Keperawatan Dharma Husada Cirebon,Jalan Perjuangan Majasem,Nan
Akademi Kebidanan Pelita Andalas,Jln. Veteran No. 202 Simpang Jirek Bukittinggi- Sumatera Barat,Nan
Sekolah Tinggi Ekonomi Dan Bisnis Islam Yayasan Pelita Ilmu Insani,Nan,Bekasi
Universitas 17 Agustus 1945 Cirebon,Jalan Perjuangan No 17 By Pass,Cirebon
"Stai Ddi Pangkep, Sulawesi Selatan",Jl. Sultan Hasanuddin Poros Makassar-Parepare Kel. Bonto Perak Kec. Pangkajene,Pangkajene Kepulauan
Akademi Pariwisata Dharma Nusantara Sakti,Jl. Bintaran Kidul 12 Yogyakarta,Natuna
Stai Almuslim Bireun,"Jln. Banda Aceh-Medan, Simpang Paya Lipah, Peusangan, Bireuen Aceh",Nan
Stmik Banten Jaya,Jalan Ciwaru Raya No 73 Warung Pojok,Nan
Politeknik Negeri Banyuwangi,Jl.Raya Jember Km 13 Labanasem Kecamatan Kabat Kabupaten Banyuwangi,Banyuwangi
Stmik Handayani Makassar,Jl. Adyaksa Baru No. 1,Pangkajene Kepulauan
Sekolah Tinggi Ilmu Komunikasi Pembangunan,Jalan Sisingamangaraja No 84,Medan
Politeknik Kesehatan Majapahit,Jalan Raya Jabon Km 2 Gayaman,Nan
Politeknik Gajah Tunggal,Jalan Gatot Subroto Km-7 Komplek Gajah Tunggal,Tangerang
Sekolah Tinggi Ilmu Ekonomi Nasional Banjarmasin,Jalan Mayjend Soetoyo S No 126,Banjarmasin
Sekolah Tinggi Pariwisata Bandung,Jl. Dr. Setiabudhi 186 Bandung,Bandung
Politeknik Penerbangan Surabaya,Nan,Surabaya
Stikes Al-Insyirah Pekanbaru,"Jl. Delima No. 05 Panam, Pekanbaru.",Pekanbaru
Sekolah Tinggi Teknologi Nusantara Lampung,Jalan Sam Ratulangi Gang Anggrek Ii No 35,Bandar Lampung
Akademi Kebidanan Kharisma Husada Binjai,"Jl. Padang Sidimpuan, No.18, Binjai, Kota Binja",Nan
Universitas Amikom Yogyakarta,Jalan Ring Road Utara Condong Catur Depok-Sleman,Sleman
Institut Teknologi Dan Kesehatan Jakarta,Nan,Bekasi
Akademi Perikanan Ibrahimy,Jl Raya Banyuwangi Ponpes Salafiyah Safiiyah,Nan
Akademi Kebidanan Ibtisam Aulia,Jalan Jenderal Sudirman,Asahan
Sekolah Tinggi Ilmu Kesehatan Ylpp Purwokerto,Nan,Banyumas
Universitas Muhammadiyah Sumatera Barat,Jalan Pasir Kandang No 4 Koto Tangah,Padang
Sekolah Tinggi Teknologi Telematika Telkom,Jalan Di Panjaitan No 128,Banyumas
Institut Agama Islam Persis Bandung,Nan,Bandung
Institut Agama Kristen Negeri Palangka Raya,Nan,Palangkaraya
Akademi Audiologi Indonesia Jakarta,Jakarta,Administrasi Jakarta Pusat
Universitas Sehati Indonesia,Nan,Nan
Politeknik Bisnis Dan Pasar Modal,Nan,Administrasi Jakarta Selatan
Akademi Pariwisata Dan Perhotelan Darma Agung,Jl Dr Td Pardede No 21,Nan
Universitas Muhammadiyah Barru,Nan,Pangkajene Kepulauan
Sekolah Tinggi Ilmu Komunikasi Inter Studi,"Jalan Wijaya Ii/62 Kebayoran Baru, Jakarta Selatan",Bekasi
Iain Syekh Nurjati Cirebon,Jl. Perjuangan Bypass Sunyaragi Cirebon,Cirebon
Universitas Ubudiyah Indonesia,"Jl. Alue Naga Desa Tibang, Kec. Syiah Kuala, Kota Banda Aceh.",Banda Aceh
Akademi Teknologi Lorena,Jl Gatot Subroto No 325,Nan
Stkip Surya,"Scientia Boulevard Blok U No 7 Gading Serpong, Tangerang",Nan
Stikes Nurul Hasanah Kutacane,Jl. Ahmad Yani No 23 Pulo Kemiri,Aceh Tenggara
Akademi Komunitas Miftahus Sa'Adah Grobogan,Nan,Grobogan
Universitas Bandar Lampung,Jalan Za Pagar Alam No 26 Labuhan Ratu,Bandar Lampung
Akademi Kebidanan Bhakti Asih Purwakarta,Jl Veteran Ciseureuh No 254,Nan
Sekolah Tinggi Teologi Global Glow Indonesia Jakarta,"Thamrin Residences P9 Jl. Thamrin Boulevard, Kebon Melati - Tanah Abang Jakarta",Administrasi Jakarta Pusat
Akademi Kebidanan Bhakti Kencana,Jalan Sultan Salahuddin No. 32 Tanjung Karang Mataram Ntb,Mataram
Universitas Wirahusada Medan,Nan,Nan
Universitas Palangka Raya,Kampus Unpar Tunjung Nyaho Jl. Yos Sudarso,Nan
Akademi Keperawatan Anging Mammiri Pemprov Sulsel,,Nan
Sekolah Tinggi Energi Dan Mineral,Jl. Gajah Mada No. 38 Cepu - 58315 Kab. Blora Jawa Tengah,Nan
Stit Al-Marhalah Al-`Ulya Bekasi,Jl. Kh. Mas Mansyur No. 91 Bekasi,Bekasi
Universitas Pasir Pengaraian,Jalan Tuanku Tambusai Kumu Desa Rambah Kec. Rambah Hilir Kab. Rokan Hulu,Rokan Hulu
Universitas 45 Makassar,Jalan Urip Sumoharjo Km 4,Nan
Politeknik Tridaya Virtu Morosi,Nan,Kolaka
Sekolah Tinggi Teologi Magelang,"Jl. Soekarno Hatta No.64-66, Blondo, Mungkid, Magelang",Nan
Stikes Nusantara Lasinrang,Jalan Jendral Sudirman No. 158,Nan
Universitas Al-Hikmah Indonesia,"Pondok Pesantren Al-Hikmah Rt 02 Rt 01 Desa Binangun, Kecamatan Singgahan",Nan
Akademi Kebidanan Prima Sengkang,Jl Sultan Hasanuddin No 27,Nan
Sekolah Tinggi Ilmu Ekonomi Sbi,Jalan Ring Road Utara No 17 Sleman,Sleman
Stain Pekalongan,Jl. Kusuma Bangsa No.9 Pekalongan,Pekalongan
Sekolah Tinggi Ilmu Ekonomi Lantim Way Jepara,Jalan Pramuka Labuhan Ratu Ii Way Jepara Lampung Timur,Lampung Timur
Sekolah Tinggi Ilmu Teknik Prabumulih,Jalan Jenderal Sudirman No 234,Nan
Akademi Keperawatan Rumkit Tingkat Iii Manado,Jl. 14 Februari 9 Teling Bawah Manado,Manado
Politeknik Bali Maha Werdhi,Nan,Nan
Akademi Kebidanan Indah,Jl Jaya No 24 Simpang Limun,Nan
Institut Agama Islam Agus Salim Metro Lampung,-,Metro
Universitas Bung Hatta,Jalan Sumatera Ulak Karang,Padang
Stid Mohammad Natsir Bekasi,Kampus Da'Wah Stid Mohammad Natsir Jl. Kampung Bulu Setiamekar Tambun Bekasi,Natuna
Stikes Muhammadiyah Tegal,Nan,Tegal
Politeknik Piksi Ganesha,Jl. Jend Gatot Subroto No 301 Bandung,Bandung
Sekolah Tinggi Pastoral Reinha Larantuka,Kompleks Biara Cij Ratu Damai Waibalun,Nagekeo
Stikes Hafshawaty Pesantren Zainul Hasan,Area Pendidikan Hafsa Pesantren Zainul Hasan Genggong Pajarakan Probolinggo,Probolinggo
Stmik Multicom Bolaan Mongondow,Jalan Sutoyo No 64-A Kotamobagu,Buton Utara
Sekolah Tinggi Ilmu Ekonomi Widya Darma,Jalan Ketintang 147,Surabaya
Akademi Keperawatan Upn Veteran Jakarta,"Jl. R.S. Fatmawati, Pondok Labu",Nan
Akademi Bahasa Asing Iec Putra Bangsa Tegal,"Jl. Kigede Sebayu Rt.03 Rw.04, Danawarih",Nan
Sekolah Tinggi Ilmu Farmasi Bhakti Pertiwi,Jl. Ariodillah Iii No.22 A,Palembang
Sekolah Tinggi Ilmu Administrasi Tabalong,Komplek Stadion Olahraga Pembataan Tanjung,Tabalong
Sekolah Tinggi Teknik Poliprofesi,Jalan Sei Batanghari No 3-4,Nan
Stmik Akakom,"Jalan Raya Janti No 143 Karangjambe, Banguntapan, Bantul D.I. Yogyakarta",Bantul
Akademi Kesehatan Lingkungan Muhammadiyah Makassar,Jl Sam Ratulangi No 101,Makassar
Sekolah Tinggi Ilmu Ekonomi Amkop Makassar,Jalan Meranti No 1,Makassar
Sekolah Tinggi Ilmu Ekonomi Widya Jayakarta,Jalan Tebet Barat Dalam 39-41,Nan
Sekolah Tinggi Ilmu Kesehatan Garuda Putih,Kota Jambi Provinsi Jambi,Ogan Komering Ilir
Stikes Bina Mandiri Gorontalo,"Jl. Prof. Dr. Aloe Saboe No. 173 Kelurahan Wongkaditi, Kota Gorontalo",Nan
"Sekolah Tinggi Ekonomi Islam Masyarakat Madani, Pamekasan Jawa Timur",-,Pamekasan
Institut Agama Islam Yasni Bungo,"Jalan Lintas Sumatera Km. 04 Kelurahan Sungai Binjai Kecamatan Bathin Iii, Kabupaten Bungo, Provinsi Jambi",Bungo
Sekolah Tinggi Teologi Kadesi Bogor,"Jl. Transyogi, Rw 002/Rt 001 Cibatutiga, Cariu Bogor",Bogor
Sekolah Tinggi Ilmu Ekonomi Saumlaki,Jalan Sifnana,Kepulauan Tanimbar
